user_id,age,occupation,monthly_income,city_type,date,food_expense,transport_expense,rent_expense,entertainment_expense,utilities_expense,shopping_expense,other_expense,total_expense,savings,payment_mode,overspending_flag,weekend_flag
U0009,25,Salaried,72995,Urban,2023-05-11,380,207,785,267,37,117,83,1876,16715,UPI,0,0
U0009,25,Salaried,72995,Urban,2023-08-31,445,249,743,188,98,75,59,1857,17285,Cash,0,0
U0009,25,Salaried,72995,Urban,2023-09-12,283,214,791,27,132,58,66,1571,25865,Cash,0,0
U0009,25,Salaried,72995,Urban,2023-10-23,115,243,627,122,144,75,149,1475,28745,Cash,0,0
U0009,25,Salaried,72995,Urban,2023-11-14,235,325,805,61,121,106,82,1735,20945,UPI,0,0
U0009,25,Salaried,72995,Urban,2024-01-27,346,190,779,7,144,67,151,1684,22475,Cash,0,1
U0009,25,Salaried,72995,Urban,2024-02-13,307,153,771,197,34,25,163,1650,23495,UPI,0,0
U0009,25,Salaried,72995,Urban,2024-02-21,225,334,511,189,85,0,141,1485,28445,UPI,0,0
U0009,25,Salaried,72995,Urban,2024-03-15,121,184,543,60,80,5,126,1119,39425,Cash,0,0
U0009,25,Salaried,72995,Urban,2024-03-16,218,229,764,0,120,156,69,1551,26465,Card,0,1
U0009,25,Salaried,72995,Urban,2024-04-26,333,322,849,200,104,53,91,1952,14435,Cash,0,0
U0009,25,Salaried,72995,Urban,2024-05-04,258,198,618,260,133,177,119,1763,20105,UPI,0,1
U0009,25,Salaried,72995,Urban,2024-05-15,234,248,781,164,121,138,105,1791,19265,Card,0,0
U0009,25,Salaried,72995,Urban,2024-05-16,119,299,782,28,70,63,76,1437,29885,Cash,0,0
U0009,25,Salaried,72995,Urban,2024-05-25,285,112,830,167,94,21,7,1516,27515,Cash,0,1
U0009,25,Salaried,72995,Urban,2024-07-24,474,99,783,155,117,51,166,1845,17645,Card,0,0
U0009,25,Salaried,72995,Urban,2024-08-27,165,225,668,20,115,74,218,1485,28445,Cash,0,0
U0010,24,Student,15173,Rural,2023-01-08,408,153,18,36,11,10,95,731,-6757,Cash,1,1
U0010,24,Student,15173,Rural,2023-01-13,158,98,29,73,1,48,0,407,2963,Card,0,0
U0010,24,Student,15173,Rural,2023-02-13,233,87,0,16,16,37,55,444,1853,Card,0,0
U0010,24,Student,15173,Rural,2023-03-19,429,184,57,161,10,79,135,1055,-16477,UPI,1,1
U0010,24,Student,15173,Rural,2023-03-24,263,277,14,44,34,28,109,769,-7897,Cash,1,0
U0010,24,Student,15173,Rural,2023-04-19,376,129,20,50,17,0,94,686,-5407,Cash,1,0
U0010,24,Student,15173,Rural,2023-04-26,387,260,20,77,21,0,52,817,-9337,Cash,1,0
U0010,24,Student,15173,Rural,2023-05-17,384,244,51,5,16,8,163,871,-10957,UPI,1,0
U0010,24,Student,15173,Rural,2023-06-01,219,251,14,60,30,0,80,654,-4447,UPI,1,0
U0010,24,Student,15173,Rural,2023-06-11,246,56,38,97,23,0,122,582,-2287,Cash,1,1
U0010,24,Student,15173,Rural,2023-06-23,383,196,10,18,43,25,33,708,-6067,UPI,1,0
U0010,24,Student,15173,Rural,2023-09-29,274,256,42,44,0,106,68,790,-8527,UPI,1,0
U0010,24,Student,15173,Rural,2023-12-05,237,192,25,53,14,59,246,826,-9607,Cash,1,0
U0010,24,Student,15173,Rural,2024-02-18,486,88,49,131,37,0,83,874,-11047,UPI,1,1
U0010,24,Student,15173,Rural,2024-02-28,217,84,36,116,22,81,48,604,-2947,UPI,1,0
U0010,24,Student,15173,Rural,2024-02-29,387,299,0,106,0,0,56,848,-10267,UPI,1,0
U0010,24,Student,15173,Rural,2024-05-26,425,102,11,47,6,0,74,665,-4777,UPI,1,1
U0010,24,Student,15173,Rural,2024-07-06,428,194,21,60,28,0,126,857,-10537,Cash,1,1
U0010,24,Student,15173,Rural,2024-09-05,272,105,48,76,1,80,125,707,-6037,UPI,1,0
U0010,24,Student,15173,Rural,2024-10-03,195,171,0,84,12,0,244,706,-6007,Cash,1,0
U0010,24,Student,15173,Rural,2024-10-23,309,271,52,74,12,8,202,928,-12667,UPI,1,0
U0010,24,Student,15173,Rural,2024-11-04,315,275,37,125,0,12,203,967,-13837,Cash,1,0
U0010,24,Student,15173,Rural,2024-11-27,329,267,7,35,17,0,181,836,-9907,Cash,1,0
U0010,24,Student,15173,Rural,2024-11-28,265,89,23,94,29,42,16,558,-1567,UPI,1,0
U0010,24,Student,15173,Rural,2024-12-06,239,123,5,89,51,3,135,645,-4177,Cash,1,0
U0010,24,Student,15173,Rural,2024-12-27,358,192,29,108,5,1,98,791,-8557,Cash,1,0
U0011,35,Freelancer,11016,Urban,2023-02-04,323,100,123,158,31,0,46,781,-12414,Cash,1,1
U0011,35,Freelancer,11016,Urban,2023-04-21,147,335,127,30,29,5,46,719,-10554,Cash,1,0
U0011,35,Freelancer,11016,Urban,2023-05-11,159,278,84,21,34,31,131,738,-11124,Card,1,0
U0011,35,Freelancer,11016,Urban,2023-06-13,138,109,104,68,10,32,194,655,-8634,Cash,1,0
U0011,35,Freelancer,11016,Urban,2023-06-21,186,315,117,7,0,13,148,786,-12564,Cash,1,0
U0011,35,Freelancer,11016,Urban,2023-08-12,400,208,95,18,10,47,227,1005,-19134,UPI,1,1
U0011,35,Freelancer,11016,Urban,2023-08-13,470,195,148,136,18,60,104,1131,-22914,Card,1,1
U0011,35,Freelancer,11016,Urban,2023-09-25,169,337,141,34,15,88,24,808,-13224,Card,1,0
U0011,35,Freelancer,11016,Urban,2023-11-06,308,249,79,44,11,46,45,782,-12444,Cash,1,0
U0011,35,Freelancer,11016,Urban,2023-12-27,237,333,112,0,12,46,63,792,-12744,Card,1,0
U0011,35,Freelancer,11016,Urban,2024-01-26,187,139,96,25,21,12,161,641,-8214,Cash,1,0
U0011,35,Freelancer,11016,Urban,2024-01-26,92,237,123,61,11,0,42,566,-5964,Cash,1,0
U0011,35,Freelancer,11016,Urban,2024-02-15,290,127,110,64,21,17,31,660,-8784,UPI,1,0
U0011,35,Freelancer,11016,Urban,2024-04-02,133,292,103,121,1,2,141,793,-12774,Cash,1,0
U0011,35,Freelancer,11016,Urban,2024-04-09,131,127,100,14,42,99,128,641,-8214,UPI,1,0
U0011,35,Freelancer,11016,Urban,2024-05-15,98,226,82,9,0,42,84,541,-5214,Card,1,0
U0011,35,Freelancer,11016,Urban,2024-08-18,212,207,138,93,45,35,70,800,-12984,Cash,1,1
U0011,35,Freelancer,11016,Urban,2024-12-30,257,250,83,12,36,0,95,733,-10974,Card,1,0
U0012,39,Freelancer,96807,Semi-Urban,2023-01-09,425,117,597,166,118,25,200,1648,47367,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-01-10,309,86,441,83,142,17,195,1273,58617,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-03-28,120,174,570,173,90,145,166,1438,53667,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-03-29,276,54,602,173,205,183,62,1555,50157,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-04-22,477,202,633,254,188,105,184,2043,35517,Card,0,1
U0012,39,Freelancer,96807,Semi-Urban,2023-05-06,593,100,560,132,138,114,146,1783,43317,UPI,0,1
U0012,39,Freelancer,96807,Semi-Urban,2023-05-09,148,243,404,75,158,219,46,1293,58017,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-05-10,228,246,520,90,84,20,108,1296,57927,UPI,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-05-25,324,214,690,185,118,14,115,1660,47007,Cash,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-08-08,446,270,410,101,67,116,94,1504,51687,UPI,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-08-13,472,214,699,377,72,18,134,1986,37227,UPI,0,1
U0012,39,Freelancer,96807,Semi-Urban,2023-08-25,319,245,418,8,111,26,168,1295,57957,Cash,0,0
U0012,39,Freelancer,96807,Semi-Urban,2023-08-31,181,288,409,134,99,12,83,1206,60627,UPI,0,0
U0012,39,Freelancer,96807,Semi-Urban,2024-01-06,559,154,340,50,64,181,178,1526,51027,UPI,0,1
U0012,39,Freelancer,96807,Semi-Urban,2024-04-09,408,257,423,335,196,7,72,1698,45867,UPI,0,0
U0012,39,Freelancer,96807,Semi-Urban,2024-05-02,181,97,332,174,97,156,56,1093,64017,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2024-07-03,441,226,465,139,138,76,193,1678,46467,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2024-07-31,443,273,499,232,152,32,170,1801,42777,Card,0,0
U0012,39,Freelancer,96807,Semi-Urban,2024-08-31,159,16,415,35,110,208,126,1069,64737,Cash,0,1
U0012,39,Freelancer,96807,Semi-Urban,2024-09-29,516,197,400,179,179,0,46,1517,51297,Card,0,1
U0012,39,Freelancer,96807,Semi-Urban,2024-10-14,397,208,424,223,154,205,100,1711,45477,Card,0,0
U0013,50,Salaried,60774,Urban,2023-01-20,326,52,523,126,150,78,27,1282,22314,Cash,0,0
U0013,50,Salaried,60774,Urban,2023-02-25,547,176,566,309,98,45,176,1917,3264,Cash,0,1
U0013,50,Salaried,60774,Urban,2023-04-12,268,187,606,154,87,91,185,1578,13434,Card,0,0
U0013,50,Salaried,60774,Urban,2023-09-24,393,101,526,213,104,21,42,1400,18774,UPI,0,1
U0013,50,Salaried,60774,Urban,2023-10-12,137,189,620,147,117,58,12,1280,22374,UPI,0,0
U0013,50,Salaried,60774,Urban,2023-11-04,490,260,558,151,112,93,77,1741,8544,UPI,0,1
U0013,50,Salaried,60774,Urban,2023-11-16,353,287,484,12,65,122,217,1540,14574,Card,0,0
U0013,50,Salaried,60774,Urban,2023-11-21,360,324,533,35,49,0,203,1504,15654,UPI,0,0
U0013,50,Salaried,60774,Urban,2023-12-14,395,211,479,174,72,8,240,1579,13404,Cash,0,0
U0013,50,Salaried,60774,Urban,2023-12-21,208,137,669,68,93,131,159,1465,16824,Card,0,0
U0013,50,Salaried,60774,Urban,2024-02-14,159,128,586,64,70,0,219,1226,23994,UPI,0,0
U0013,50,Salaried,60774,Urban,2024-03-30,600,225,709,291,74,0,155,2054,-846,Card,1,1
U0013,50,Salaried,60774,Urban,2024-04-16,388,108,693,181,67,89,77,1603,12684,Card,0,0
U0013,50,Salaried,60774,Urban,2024-04-20,203,203,577,162,91,154,126,1516,15294,Cash,0,1
U0013,50,Salaried,60774,Urban,2024-06-27,147,282,469,117,123,0,59,1197,24864,UPI,0,0
U0013,50,Salaried,60774,Urban,2024-06-28,186,177,469,182,119,123,129,1385,19224,UPI,0,0
U0013,50,Salaried,60774,Urban,2024-06-30,448,113,649,154,66,113,72,1615,12324,Card,0,1
U0013,50,Salaried,60774,Urban,2024-09-11,231,298,405,173,92,58,151,1408,18534,UPI,0,0
U0013,50,Salaried,60774,Urban,2024-09-18,227,77,506,114,64,2,65,1055,29124,Cash,0,0
U0013,50,Salaried,60774,Urban,2024-11-19,359,286,418,102,104,55,123,1447,17364,UPI,0,0
U0014,29,Salaried,53159,Urban,2023-01-20,132,190,363,109,90,137,182,1203,17069,Card,0,0
U0014,29,Salaried,53159,Urban,2023-02-15,274,195,573,10,53,0,0,1105,20009,UPI,0,0
U0014,29,Salaried,53159,Urban,2023-02-16,117,356,551,124,83,89,135,1455,9509,Card,0,0
U0014,29,Salaried,53159,Urban,2023-05-18,412,273,367,117,102,34,140,1445,9809,Cash,0,0
U0014,29,Salaried,53159,Urban,2023-06-14,274,220,582,126,73,8,121,1404,11039,UPI,0,0
U0014,29,Salaried,53159,Urban,2023-06-15,261,272,491,0,83,178,194,1442,9899,Cash,0,0
U0014,29,Salaried,53159,Urban,2023-09-11,301,222,429,160,122,60,81,1375,11909,Card,0,0
U0014,29,Salaried,53159,Urban,2023-10-08,517,163,612,0,82,67,118,1538,7019,UPI,0,1
U0014,29,Salaried,53159,Urban,2023-11-16,412,289,426,123,70,14,110,1444,9839,UPI,0,0
