age,occupation,monthly_income,city_type,date,food,transport,rent,entertainment,utilities,shopping,others,total_expense,overspending_habit
41,Salaried,37397,Rural,2023-04-12,6796.816640068612,2559.608911146035,3327.304057631015,3289.767845991077,2077.0668460971874,5229.0694952187405,1454.6128259857555,24734.246622138424,0
61,Salaried,129198,Urban,2023-12-01,22491.015976951345,11863.256845247475,37868.879271819875,10894.418137160434,7047.526001680065,7357.926829416993,4555.177510487828,102078.20057276402,0
47,Business,127323,Semi-Urban,2023-12-01,13782.180986315096,11051.300278250294,25557.60342779577,12318.519045276216,4752.383796585298,14082.349727525214,3354.6381635975604,84898.97542534544,0
55,Freelancer,65406,Urban,2023-05-01,10556.953439108023,5633.58132163071,20066.40865865908,5693.931060421075,4195.272248393667,3775.7034528230984,1981.67195026433,51903.522131299986,0
19,Student,67657,Rural,2023-06-25,11414.564835998337,5069.492622301363,6147.051893509583,11413.03699721378,3132.3449583679603,6021.731975125732,2996.7052178163412,46194.928500333095,0
38,Business,87560,Urban,2023-03-04,12324.93101103458,4493.817824993297,25384.126677782184,16630.89098033628,5991.208276987854,10405.712150006175,2708.3226349420906,77939.00955608246,1
50,Business,143178,Semi-Urban,2023-10-23,27756.49160148575,11903.841015055255,29324.26709839868,11971.064083118765,6466.71635814753,14012.862371341376,3663.0608879434726,105098.30341549082,0
29,Student,124143,Semi-Urban,2023-03-25,16039.450647101408,11037.092698454633,25616.55678376622,22434.158322659,6034.212328961802,7281.102017398708,2694.9506758581438,91137.52347419992,0
39,Business,144745,Semi-Urban,2023-01-15,19892.675384988754,10594.043734151272,29167.241244426594,18882.602804121263,10072.647591221823,12505.08336783182,6577.6238633568,107691.91799009831,0
61,Student,146896,Urban,2023-12-21,22548.04691954253,8302.851705656523,44663.93110506904,11705.83305982011,7506.010045270556,14903.379090456694,3323.4321249916497,112953.4840508071,0
42,Freelancer,33503,Semi-Urban,2023-05-14,5547.59073240705,3201.6223226618154,5887.089838442717,4973.379689176319,2214.2909613692254,2627.787401069253,1327.3322454713223,25779.093190597705,0
44,Salaried,74943,Urban,2023-05-01,11502.387773533404,5981.678985090222,22314.477803154503,3822.048254439474,2393.7796959213433,9325.014643352253,3176.2944701166584,58515.68162560786,0
59,Freelancer,95839,Rural,2023-11-15,16012.068420340478,7876.210930979816,9071.334264335052,3025.0761275059313,5975.428996884147,9498.972612255235,2798.9917882522473,54258.08314055291,0
45,Salaried,102674,Rural,2023-05-08,11313.975659678825,5455.693831210458,9965.133443590355,8864.01013715166,6853.38168956407,14341.00496102818,4887.284971212582,61680.48469343613,0
33,Student,45345,Urban,2023-10-15,8650.580568420006,3462.6003180659977,13042.331277113808,8427.969560911493,1747.982593787608,3478.9013964526625,1224.207516691304,40034.57323144288,1
32,Salaried,138423,Semi-Urban,2023-10-28,20970.840926678455,9148.566458164429,26992.912099250687,22386.063623621085,8991.444468574367,14818.913784073999,6415.915487213325,109724.65684757633,0
64,Freelancer,70390,Urban,2023-06-29,8417.744310772048,4107.164548390554,21268.15425139684,4394.660496588951,3970.482089821172,9112.877982037517,2994.3356162287014,54265.41929523578,0
61,Salaried,115041,Urban,2023-03-23,22343.966767885453,8042.840778291588,33925.07348449636,7887.657870857131,3960.8299715965672,9075.02220791942,3018.2894929658223,88253.68057401234,0
20,Student,79557,Urban,2023-01-13,11110.641961722537,4420.2528528725625,22930.783489096193,6044.389243844601,4328.693118632081,9613.341187442777,3167.290920860019,61615.39277447077,0
54,Salaried,85054,Rural,2023-01-24,9477.52198098843,5490.571158826211,7764.453219800705,7570.4922278686945,5092.705740104348,5966.76777062082,2571.971484218822,43934.48358242802,0
24,Business,21906,Urban,2023-06-17,4308.066802053988,1746.0827446855822,7174.111194602315,3253.509184535065,841.2367707779144,2812.548424331249,888.8616601289978,21024.416781115113,1
38,Freelancer,60167,Rural,2023-09-27,10113.93990668842,4670.868244245856,6143.856685553099,4903.539826123296,2454.8195712647585,5130.852028521545,2776.6530871564046,36194.52934955338,0
26,Business,27961,Urban,2023-03-11,3659.7179885500946,2161.818096266829,8793.578928013367,5592.052865815772,1325.6772367976391,2595.040492331005,1266.0084103203435,25393.89401809505,1
56,Student,46140,Rural,2023-11-14,8330.59135535301,3993.592059161603,4540.459274818058,2430.45857029508,2507.672978658597,6349.894274509391,2146.1247576523256,30298.793270448063,0
35,Salaried,144098,Urban,2023-03-30,15973.239452796004,10291.12095984537,43158.8439123975,14184.009346060646,8230.86632001704,13073.239423462985,2994.6066776425596,107905.9260922221,0
21,Business,139289,Urban,2023-07-08,21804.09335650569,7633.56632853455,42455.59991469552,25444.800019852966,6744.4244149780125,12942.884027158381,6535.463415253247,123560.83147697836,1
42,Business,78701,Semi-Urban,2023-09-14,10140.296063625714,4914.9560018882485,16618.594865651525,6819.221961883509,4944.392191999252,5471.244837732961,1912.3461346481793,50821.05205742939,0
31,Salaried,97567,Semi-Urban,2023-08-05,10010.662508700841,6034.721445033443,20061.780983428653,14323.097988249327,5772.466802820052,7336.143372710321,3108.3650944265955,66647.23819536924,0
26,Salaried,100664,Urban,2023-02-01,19963.3048751642,6265.386405899311,29951.94125459653,5141.524795404519,3461.3315849569335,9964.670392345735,3156.8955080126007,77905.05481637984,0
43,Freelancer,101199,Urban,2023-05-21,17152.087819661094,9196.937527847478,30448.199428991273,13383.947200317147,5541.342941143905,5620.498648738903,3895.2193077569314,85238.2328744567,1
19,Business,149856,Urban,2023-06-10,25251.18480776835,8974.633280212543,45595.49229744354,29038.490143401246,9369.518403769622,12065.044280842178,5634.479258191591,135928.84247162906,1
37,Business,119764,Urban,2023-02-01,22932.59215277382,7908.40451356767,36569.255644530844,3672.3545734298077,3610.3897484921586,15086.810728883609,5131.100246776176,94910.90760845409,0
45,Student,101218,Semi-Urban,2023-11-08,18107.66930000335,9767.6728238682,19479.412623640572,4680.213934705528,6695.469159615844,6854.849346612207,4095.976460167001,69681.2636486127,0
64,Freelancer,142357,Rural,2023-06-01,21787.212129681036,7710.0101127775015,13806.227323883066,9456.213933112082,9124.230222430424,17190.15567660761,5503.022636457198,84577.07203494891,0
24,Student,100729,Urban,2023-12-13,15069.389697090879,6540.756950280698,29457.18982263852,5906.277392006577,3136.7755749276234,7162.394866996059,3321.488539048315,70594.27284298868,0
61,Business,48561,Semi-Urban,2023-09-17,6888.888642141387,2535.6015212322477,9890.320307050584,8181.455200394232,1608.5429243023818,7008.14409905314,1116.0038138589816,37228.956508032956,0
25,Student,70568,Urban,2023-08-04,13089.193638451634,3529.4928580889073,21934.962190090766,2214.4507443535754,4256.131178662514,6080.779717183625,2974.1944945605946,54079.20482139161,0
64,Business,129349,Urban,2023-10-06,18131.434057651553,6926.04344228507,39339.71339079073,4525.622451554327,8651.484250845904,7126.794055561561,4446.9873606340325,89148.07900932318,0
52,Business,93302,Rural,2023-10-12,16076.255846724092,6499.634082901336,8764.66694918487,7756.78934161205,5726.110581847911,13274.028739291038,2918.9487140032124,61016.43425556451,0
31,Student,115380,Urban,2023-04-08,17379.13251263016,7863.88798677899,34128.163643702734,21065.19281715465,5028.961195122253,10708.988261707756,3704.87599849981,99879.20241559633,1
34,Student,114968,Urban,2023-01-30,19690.12357901551,11024.256377134632,34823.912122614754,7244.223553543322,7032.386145251999,13117.519119167391,2508.4075461136235,95440.82844284124,1
53,Salaried,49504,Rural,2023-03-31,5423.973018207834,2569.0520199710572,4864.03265241264,4346.933388946129,2105.0747686227733,4376.946570381021,2340.762643179322,26026.775061720775,0
57,Salaried,136116,Rural,2023-05-28,25003.19493627218,11331.984443253226,13145.207564184502,18810.26529203341,4170.914508317054,8262.386471222335,3917.131725609498,84641.0849408922,0
21,Salaried,57146,Rural,2023-05-24,8867.859497331387,3040.167436448395,4987.0555566368985,2438.742646986272,3158.989947424961,6376.292385251819,2087.141745977892,30956.249216057626,0
19,Business,60297,Rural,2023-03-08,7540.148440489108,4133.720201070794,5223.079432675487,2764.752651735961,3974.067281624688,8922.097323484115,2377.4979010605853,34935.363232140735,0
23,Student,106394,Semi-Urban,2023-12-23,20393.849733153977,8738.89408756546,20345.19297221094,21254.689092693083,3612.9372474254874,12582.599182294578,2934.887649698176,89863.04996504172,1
59,Freelancer,147173,Semi-Urban,2023-02-27,20486.20363298561,12111.853588985427,29307.574698615415,6996.343059174967,6384.047946457748,12385.316101193463,7179.057309945621,94850.39633735825,0
21,Business,145942,Semi-Urban,2023-10-08,26249.318076990032,10643.17624036233,28588.04184068273,27257.75192147668,5295.84097085877,10368.627689413826,4521.34179295806,112924.09853274244,0
46,Freelancer,88607,Urban,2023-10-06,16661.20125898573,5014.211067383131,25826.56838570905,5722.0849252135295,3637.8863525874895,9469.677672561851,2972.685151591792,69304.31481403258,0
35,Student,36939,Rural,2023-08-24,5300.59544295076,2053.7584778409523,2975.9993804996802,3231.2575100616436,2417.114897726507,2713.847502124826,864.5135239747033,19557.086735179073,0
43,Business,110467,Rural,2023-12-19,11636.777949858959,8883.190624861307,11477.406425000412,6196.834075411736,6317.28016216354,13399.192147841417,5309.073673972159,63219.75505910953,0
61,Freelancer,70715,Semi-Urban,2023-05-08,7530.253929950962,4215.64546041429,13280.051975193976,6418.063369710414,4363.362040870952,7599.331402402335,1591.7877412530827,44998.495919796005,0
51,Freelancer,64460,Urban,2023-12-03,8207.771463881878,4182.5510702926,19459.486392030834,9544.145658672469,2121.9197131131627,7933.493797746368,1867.5613132992344,53316.92940903655,1
27,Salaried,86576,Urban,2023-07-28,12574.074674996928,4881.443329511404,26577.89660678916,6024.584144360405,5719.507086989804,8618.394604394429,4176.666068899143,68572.56651594127,0
53,Salaried,88222,Urban,2023-07-05,16690.439672692937,6953.922072827328,27334.386876299726,4641.9074824674,3936.9673151236375,4812.315582012119,3323.8544718956196,67693.79347331877,0
31,Salaried,32666,Semi-Urban,2023-06-18,5624.836840169854,2896.688893422427,5832.832572092208,5262.20301793121,1211.076547450394,3796.205197767289,808.1042860458844,25431.947354879267,0
48,Business,82119,Urban,2023-06-21,15636.801756278892,5052.924323353481,24218.50453257649,7354.8603388102565,3969.5260671022675,4303.00230731562,2860.8278508753024,63396.44717631231,0
32,Student,55321,Urban,2023-09-17,5999.802185656379,5491.562759125036,16772.523140911202,8185.144865719986,2907.0470300101506,3191.286502618206,2433.9436053036566,44981.31008934462,1
25,Student,21779,Urban,2023-07-24,4193.171968510762,2041.1762165370974,6217.215204597125,1150.0132714399047,683.9369233871919,2507.6348412147263,785.0707388460864,17578.219164532893,1
31,Salaried,33186,Rural,2023-05-15,4842.986867886915,3165.33204086828,2654.357802165693,1018.0349308466274,1092.903191203189,2400.5804535739067,696.8584271357125,15871.053713680323,0
40,Salaried,36459,Semi-Urban,2023-02-15,5479.217884633807,2395.521195368051,6652.7660161362655,3008.082070198729,1391.9336361244727,4329.889437713271,1111.195476068972,24368.605716243568,0
57,Salaried,106246,Rural,2023-01-09,16062.565225935377,10273.281875802168,9699.303269631626,6907.957200301529,6818.540873718726,11559.291199235604,3007.411548364401,64328.35119298942,0
38,Freelancer,107755,Rural,2023-06-10,15060.713071755317,9052.851141182377,11557.123788627607,14317.907497214632,3540.9966301119002,8890.342692655111,2907.5952468968167,65327.53006844376,0
33,Salaried,25057,Semi-Urban,2023-10-16,3169.537321607483,1530.068117778435,4403.050097710316,980.8231316490692,1687.793547215731,1614.145539709648,654.7923615290013,14040.210117199684,0
62,Freelancer,80663,Rural,2023-12-06,10052.753209346212,7796.138935565956,8577.72826720217,6878.856760327826,2757.8946195661547,10779.076344838912,2601.0423567591515,49443.49049360638,0
35,Student,38733,Urban,2023-11-17,4891.292427428445,3051.6763992496094,12264.265811633468,3273.1573637309125,2540.8808997125993,5531.584396093619,1051.3554657783307,32604.212763626983,1
64,Business,39157,Urban,2023-04-16,5575.400356198617,1986.4904854826466,12505.74331853012,5514.090721470824,2524.0207690761154,3247.631936702915,1215.5902094867429,32568.967796947978,1
41,Business,55030,Urban,2023-10-17,5718.344796424678,3650.9069900392774,17285.727365602528,1749.3111438605313,2545.308033670452,2924.2921628595145,1712.9574825125555,35586.84797496953,0
43,Business,39613,Urban,2023-12-07,4645.181370322968,2480.2063606270017,12639.096746322837,2397.515244354648,1622.228393336158,4315.196116575505,961.1384899954426,29060.56272153456,0
42,Business,128612,Semi-Urban,2023-03-29,16197.287341361114,9943.302180467135,25197.44608369614,9972.438359382078,6386.827174648069,16359.305830359632,6230.908786850145,90287.51575676433,0
62,Freelancer,135080,Rural,2023-07-11,15072.292445304784,9014.327477435618,13147.098125756813,5481.925212085342,8430.629911640212,17018.441534155972,4664.685778009319,72829.40048438804,0
58,Freelancer,103028,Rural,2023-06-02,15843.344769462306,5458.13567250606,10413.814704654093,8797.963417568659,5455.652290047905,7884.798470076652,4123.844902061864,57977.554226377535,0
46,Salaried,106282,Urban,2023-11-07,14470.171331356645,8209.611120022826,31859.73072655785,6024.3029016806895,6244.611580489979,14708.112093408348,2142.2599066629364,83658.79966017927,0
32,Freelancer,25188,Urban,2023-05-17,4870.393288637449,1903.602162383214,7957.86376072653,2264.24301009866,1226.2563120804734,3362.5326959914855,637.976640373129,22222.867870290942,1
62,Salaried,127106,Rural,2023-09-30,14733.71486375913,10533.727790491514,13450.886011103474,24464.07052053271,7086.110988099933,13034.58340949855,3805.781494142602,87108.8750776279,0
18,Salaried,148346,Semi-Urban,2023-05-29,29372.514165249842,9788.578816709582,30157.572214463187,9974.596046209506,8061.1948785706045,13254.426575762034,7260.749541139182,107869.63223810394,0
42,Business,49680,Rural,2023-07-07,7808.117796061179,4813.464474059635,3983.1828323478285,3481.919220105443,2915.59378726206,6185.558290333899,2342.3775446074183,31530.21394477746,0
24,Freelancer,123361,Urban,2023-05-21,12390.398688831609,6170.0864388204145,36952.82692159043,16289.889052021728,8509.602414093768,8907.468199660065,4216.471810375298,93436.7435253933,0
26,Freelancer,80119,Urban,2023-05-11,8501.728577894935,6097.249852761253,23795.612250294816,2654.0381797530003,3477.5628449373935,7142.096250423497,3981.7255987837075,55650.0135548486,0
41,Salaried,122302,Semi-Urban,2023-01-04,14772.685790748346,9446.481825949697,25435.03109839726,10449.64732186461,8528.69328371525,17957.5820479568,4242.189952315978,90832.31132094796,0
18,Salaried,94400,Rural,2023-09-20,16013.78802277814,5241.291559162233,9322.297650093604,8177.994527298338,4740.146172009694,11353.478869794668,3999.9677665154727,58848.96456765215,0
61,Student,75718,Semi-Urban,2023-01-26,9491.017643662944,7101.210256023259,15063.244861818359,3385.5756973211237,4892.6423894902955,6949.540436075332,3218.724716277069,50101.95600066839,0
25,Student,56445,Semi-Urban,2023-01-24,8737.87267615478,3899.9875527438194,11908.75283007714,4002.678370417613,2575.161114859752,3440.8751791066247,2645.202322066855,37210.53004542658,0
41,Salaried,25796,Urban,2023-09-23,2671.0973423473633,2403.1390419251193,7458.72304976631,4507.946792029758,1725.4425630426135,1681.1423853538563,954.6716340873625,21402.162808552377,1
28,Student,67218,Rural,2023-08-17,11860.164814279957,5907.06350338548,6773.063829199008,4956.101591119461,4053.317979664862,9014.11957547777,2880.586582374054,45444.41787550059,0
34,Student,59131,Urban,2023-09-26,8006.366629525007,5903.421441047241,17608.30538743861,1875.1935637186948,2631.6061185679982,3712.1433886905925,1398.0506993190363,41135.08722830719,0
25,Salaried,28123,Rural,2023-05-05,3604.0609932926195,1481.2039511373555,3189.3243768191264,989.3452573287125,1072.3744867010157,1667.4118670718121,615.7539828855784,12619.47491523622,0
52,Salaried,28222,Urban,2023-06-21,3577.848750485695,2218.106633265548,9395.971112893683,2576.3571929338214,1835.4842897567182,1907.9963891054774,788.7263244468644,22300.490692887804,0
52,Freelancer,44074,Urban,2023-08-22,4744.09590444363,3919.2106806710935,12361.832602971122,3039.7263497030804,1759.2147189842321,3276.6622874182895,2191.4364825494886,31292.179026740938,0
50,Salaried,131958,Rural,2023-10-22,23182.114976927387,12119.942192068522,13339.765370688026,25200.15123351331,7365.845622692545,19083.418973751614,3752.9063141223046,104044.1446837637,0
22,Salaried,136088,Rural,2023-10-02,21710.38463465026,11500.32974390179,13394.674610055614,12462.878993658196,9416.218114420726,13524.010254192277,4316.6051629303865,86325.10151380925,0
59,Business,49825,Urban,2023-03-17,7333.930729032556,4615.630417804675,15238.436851036335,1650.9048422499861,2575.29463151831,2577.4478615568823,2160.21574580734,36151.861079006085,0
56,Freelancer,56839,Rural,2023-11-04,7549.99413158801,4183.371663803345,6281.256211815265,7573.8773027993775,2065.623693659662,5103.916983676388,1528.8414911229836,34286.881478465024,0
58,Freelancer,127112,Urban,2023-08-02,17006.332603311985,12699.599364149351,38784.42887514762,11678.176925224654,8577.795543272514,10689.304161849803,3675.1013877827572,103110.7388607387,1
45,Freelancer,147514,Rural,2023-06-07,18204.149452927708,13498.393302735321,15110.503724570372,6864.127167678541,6649.894708886041,14850.40791447828,5287.521572260415,80464.9978435367,0
24,Business,88322,Urban,2023-10-29,16681.621044114454,6096.718099708202,27313.648061001022,14210.632596379513,5286.505095320411,12632.292204972011,4171.207039763308,86392.62414125892,1
26,Salaried,76321,Urban,2023-07-23,8066.769978487369,4601.027874845339,22850.11085106455,12227.295847445777,4246.169710081619,11026.163946804629,1783.7851990833299,64801.323407812604,1
25,Freelancer,119174,Urban,2023-05-29,17302.380455870796,7105.219651458097,36540.41519679589,11621.921534390833,5857.171769504023,7198.232322145345,5191.081198360236,90816.42212852521,0
29,Freelancer,122500,Semi-Urban,2023-03-16,20789.98154353189,8297.358812988152,25274.814947937928,12042.758454886714,6408.483860737958,13055.166913967581,3543.3621312931336,89411.92666534336,0
51,Student,130100,Rural,2023-08-17,20614.42352814292,9364.873295014128,12614.382053856103,4514.85558474317,5218.091701926286,9079.088992306413,4717.589865714062,66123.30502170308,0
50,Freelancer,45988,Urban,2023-10-31,7365.7600960864165,3698.7498228692543,13572.762002091358,2735.6459094910015,2914.23827609255,4489.499462802727,2282.5315999496597,37059.18716938297,1
40,Salaried,55507,Semi-Urban,2023-03-03,7990.883358610207,4578.164474645119,10202.125997986794,4203.755742930046,3555.6149949917503,8006.650724346767,2770.888255708662,41308.083549219344,0
41,Salaried,119244,Urban,2023-02-27,15289.211042179715,9392.671400503888,35674.635971064294,8283.549615759399,4328.332817085843,16171.269963463046,5638.699172405461,94778.36998246165,0
54,Student,118644,Semi-Urban,2023-10-01,17199.36583583696,7595.766024826774,23010.46685530603,21102.44157096565,5041.0973751985,16723.329408880407,4761.228121964843,95433.69519297917,1
52,Freelancer,145788,Urban,2023-04-18,23992.117218650223,11367.105783628638,42827.95267885745,13884.057563761125,8035.470050925668,21781.63084334569,5265.96346617089,127154.29760533969,1
61,Freelancer,115251,Urban,2023-07-06,19709.199040308296,6086.460387681999,34838.77235364682,9626.394266978019,7046.512039842084,14638.16380311926,3087.398972346675,95032.90086392316,1
57,Freelancer,43806,Semi-Urban,2023-08-17,8653.430570997454,4370.047398804803,7912.391750323203,4185.718039838429,1821.3644562278882,5209.777848518276,1320.45860981301,33473.188674523066,0
39,Business,56901,Semi-Urban,2023-02-17,11196.718875425398,3133.8335520664737,11375.693633912753,3411.97431865072,2449.072418322785,6518.202961507133,1361.736085693089,39447.23184557835,0
44,Freelancer,37043,Rural,2023-11-15,6359.032595492654,3668.353702105037,4313.41742893726,3341.3220404619806,1644.1709551031915,3055.6274563883785,1315.4506660835982,23697.374844572103,0
52,Salaried,95761,Rural,2023-09-25,10013.982635625,9314.472015684602,8863.670346032384,8925.970215064299,3192.9866864390424,12665.58856994266,2351.782503218713,55328.45297200669,0
18,Salaried,29752,Semi-Urban,2023-08-03,3088.64917824495,2557.9125062058965,5510.930600348857,2380.598267634798,1553.1558548826933,1811.3237474124912,1427.022018225687,18329.59217295537,0
52,Business,88993,Rural,2023-10-17,12924.579535472616,7717.683329656932,8901.341144031252,6434.665851885575,3747.579212183965,6232.7164534179055,3228.408503356826,49186.97403000507,0
54,Business,62616,Semi-Urban,2023-09-11,9018.075121155227,4352.166448618958,12868.334390189248,4905.053428900651,1993.493209288421,5251.8825251561775,2025.8114723092456,40414.81659561793,0
64,Freelancer,72127,Rural,2023-12-24,7911.554090828796,4457.091090617372,6315.9835944455135,14406.426769286489,4288.836455144239,4237.101743807411,1486.3558104835993,43103.349554613415,0
31,Student,94777,Urban,2023-03-28,16294.893983503269,6820.115794345306,29006.69341812915,8970.010190541907,5115.3057187921895,6512.207499882849,4119.560124631239,76838.78672982591,1
20,Business,20453,Rural,2023-06-30,4000.2217583145484,1616.023525711864,2409.294894561467,1096.7558956309554,925.7254375554938,2525.238844458872,978.3310682714402,13551.59142450464,0
18,Business,95432,Urban,2023-01-25,15545.761976959437,8540.438280128685,27972.870034830743,4278.897593104925,4893.885369355364,6456.491967411876,3726.6054862396954,71414.95070803072,0
22,Freelancer,142872,Urban,2023-08-10,18454.107390371144,12797.99241470881,43477.820693228685,8924.516896507517,5319.471081963881,16384.203223969787,7112.684006200654,112470.79570695048,0
43,Freelancer,107362,Rural,2023-02-18,17420.460398490522,5560.142117221866,9770.787951534166,16364.68913131965,4061.649642885872,14097.180370131984,4868.240780729572,72143.15039231363,0
31,Business,30976,Semi-Urban,2023-11-30,3898.6975060113314,2053.1586305399937,5667.69393543023,2898.944045116059,1552.0826315703926,3581.250107748465,1005.6191935282073,20657.44604994468,0
56,Student,134176,Urban,2023-06-24,21884.2960427664,9297.426551350785,39932.156875458444,23402.119880868744,7197.533815372048,10647.240677843882,3284.68933010197,115645.46317376228,1
44,Business,119122,Urban,2023-11-07,16302.759292338664,8429.058658493126,35993.96866684921,11199.494676736535,3746.0762180686843,8858.638713600965,3074.714914286774,87604.71114037395,0
26,Freelancer,90404,Rural,2023-10-01,13581.342372355282,6462.533587996491,9498.475247640377,13286.595771039412,4861.921210289647,12510.62320584907,4277.947311987233,64479.43870715752,0
32,Freelancer,101932,Semi-Urban,2023-02-04,19966.28323288319,9037.60278769087,21198.375812517832,14924.59405902421,3863.5528327813126,5162.734335591663,4200.141771243886,78353.28483173296,0
32,Business,117170,Semi-Urban,2023-08-05,22701.303039613646,6953.6607189266615,23707.887150853756,21354.488299161098,7862.642397291913,13437.761244809786,5754.07949998514,101771.82235064199,1
43,Student,97707,Rural,2023-07-28,13138.397858891301,6594.873362460147,9856.725020028693,5554.167280873436,2936.782145351598,12035.274925517428,4157.580509152146,54273.80110227475,0
59,Business,109647,Semi-Urban,2023-06-09,19155.052448009035,7373.874051591892,21973.978946622345,6052.31114432621,3359.7437261664086,11649.433906358725,2600.039572623407,72164.43379569803,0
30,Business,53688,Rural,2023-01-07,5798.525860782127,4712.461700009656,4387.8124048362115,10583.54717243257,2717.1611995390413,7962.018613175169,1167.173210127443,37328.70016090222,0
49,Freelancer,106840,Rural,2023-09-26,16918.42970008342,7208.105026183318,11370.964985628572,5906.712592270181,4318.419717859488,14504.09760993547,3337.6380893670325,63564.367721327486,0
56,Student,137106,Rural,2023-05-06,13941.394915280216,9530.848872983886,14019.644538021885,20264.975324931147,6482.303633881745,7632.898574932281,5161.051508199379,77033.11736823054,0
49,Salaried,127810,Urban,2023-11-21,22447.205421859693,9031.773923633797,38183.46526560292,4624.1370300896715,4866.70247573106,8367.405049277852,4403.135411378935,91923.82457757392,0
21,Student,124779,Urban,2023-12-22,19081.897714429368,12159.340032075936,36580.16300855447,8982.934807561955,6371.208389659625,12680.454972733483,5764.138281610252,101620.13720662509,1
47,Business,113789,Urban,2023-03-31,13717.701704196872,5921.427505701517,34481.24301526838,6162.928588059834,3493.731559036278,8549.80969155689,3331.7195293407044,75658.56159316047,0
54,Business,116516,Rural,2023-02-11,18838.754030939275,6831.25031897225,11477.708695906796,19082.20762172517,5635.820155687137,17173.768236894673,2489.3791531112247,81528.88821323653,0
40,Business,22017,Urban,2023-12-31,4295.446656112248,1741.4755820253317,7196.555429939676,3525.5267989601953,1060.1959452653975,3036.863152883139,1032.1136941457644,21888.17725933175,1
56,Student,27957,Urban,2023-06-08,3463.002505817479,1676.3602599795086,8379.570347739902,2600.5431393186213,1199.193253854259,3220.6872601036093,1153.0739020249196,21692.430668838297,0
62,Freelancer,134534,Urban,2023-07-21,23929.22173668704,10520.050651096943,40165.11035655794,13142.777032595672,7325.810862593839,16528.379218187045,4083.0376648854794,115694.38752260392,1
32,Business,127724,Rural,2023-10-09,21329.258919443742,8032.547430112541,12262.593835057274,10221.822495273504,6495.504851777885,15113.28217895893,3586.8928537692777,77041.90256439317,0
